t,x,y,vd,xyd,nd,d,st
0,909.48,1128.67,0,0,6,6.16497,0
1,909.48,1128.77,0.00697933,0.442,6,6.066,0
1,909.49,1128.77,0.00953725,0.00953695,6,6.06615,0
2,909.502,1128.77,0.0120915,0.0120911,6,6.06635,0
2,909.517,1128.77,0.0146406,0.0146401,6,6.06659,0
3,909.534,1128.77,0.0171828,0.0171823,6,6.06688,0
3,909.554,1128.77,0.0197164,0.0197158,6,6.0672,0
3,909.576,1128.77,0.0222397,0.022239,6,6.06757,0
4,909.601,1128.77,0.024751,0.0247502,6,6.06798,0
4,909.628,1128.77,0.0272485,0.0272477,6,6.06843,0
5,909.658,1128.77,0.0297305,0.0297296,6,6.06892,0
5,909.69,1128.77,0.0321954,0.0321944,6,6.06945,0
6,909.724,1128.77,0.0346413,0.0346402,6,6.07002,0
6,909.762,1128.77,0.0370666,0.0370654,6,6.07064,0
6,909.801,1128.77,0.0394695,0.0394682,6,6.07129,0
7,909.843,1128.77,0.0418483,0.041847,6,6.07198,0
7,909.887,1128.77,0.0442014,0.0442,6,6.07271,0
8,909.934,1128.77,0.0465273,0.0465258,6,6.07348,0
8,909.982,1128.77,0.0488262,0.0488246,6,6.07428,0
9,910.033,1128.76,0.0510985,0.0510969,6,6.07513,0
9,910.087,1128.76,0.0533447,0.0533431,6,6.07601,0
9,910.142,1128.76,0.0555654,0.0555637,6,6.07692,0
10,910.2,1128.76,0.057761,0.0577592,6,6.07788,0
10,910.26,1128.76,0.059932,0.0599301,6,6.07887,0
11,910.322,1128.76,0.0620788,0.0620769,6,6.07989,0
11,910.386,1128.76,0.064202,0.0642,6,6.08095,0
12,910.453,1128.76,0.066302,0.0663,6,6.08204,0
12,910.521,1128.76,0.0683793,0.0683772,6,6.08317,0
13,910.591,1128.76,0.0704335,0.0704313,6,6.08433,0
13,910.664,1128.76,0.0724642,0.072462,6,6.08552,0
13,910.738,1128.76,0.0744713,0.074469,6,6.08675,0
14,910.815,1128.76,0.0764542,0.0764519,6,6.088,0
14,910.893,1128.76,0.0784127,0.0784103,6,6.08929,0
15,910.974,1128.76,0.0803464,0.080344,6,6.09061,0
15,911.056,1128.76,0.0822549,0.0822524,6,6.09196,0
16,911.14,1128.76,0.0841379,0.0841353,6,6.09334,0
16,911.226,1128.76,0.0859949,0.0859924,6,6.09474,0
16,911.314,1128.75,0.0878258,0.0878232,6,6.09618,0
17,911.403,1128.75,0.08963,0.0896274,6,6.09764,0
17,911.495,1128.75,0.0914073,0.0914047,6,6.09913,0
18,911.588,1128.75,0.0931573,0.0931546,6,6.10064,0
18,911.683,1128.75,0.0948796,0.0948769,6,6.10218,0
18,911.779,1128.75,0.0965739,0.0965712,6,6.10375,0
19,911.878,1128.75,0.0982399,0.0982371,6,6.10533,0
19,911.977,1128.75,0.099877,0.0998742,6,6.10695,0
20,912.079,1128.75,0.101485,0.101482,6,6.10858,0
20,912.182,1128.75,0.103064,0.103061,6,6.11023,0
21,912.287,1128.75,0.104613,0.10461,6,6.11191,0
21,912.393,1128.75,0.106131,0.106128,6,6.1136,0
21,912.5,1128.75,0.107619,0.107617,6,6.11531,0
22,912.609,1128.74,0.109077,0.109074,6,6.11704,0
22,912.104,1128.75,0.0946365,0.0946334,6,6.10888,0
23,912.201,1128.75,0.096354,0.0963536,6,6.1106,0
23,912.299,1128.75,0.0987477,0.0987476,6,6.11222,0
23,912.4,1128.75,0.100447,0.100447,6,6.11402,0
24,912.503,1128.74,0.103194,0.103194,6,6.11604,0
24,912.608,1128.74,0.104863,0.104863,6,6.11795,0
25,912.714,1128.74,0.106532,0.106532,6,6.11986,0
25,912.823,1128.74,0.108886,0.108886,6,6.1218,0
25,912.934,1128.74,0.110535,0.110535,6,6.12374,0
26,913.047,1128.74,0.112854,0.112854,6,6.12572,0
26,913.161,1128.74,0.114484,0.114484,6,6.1277,0
27,913.278,1128.74,0.117077,0.117077,6,6.12972,0
27,913.397,1128.74,0.118677,0.118677,6,6.13173,0
28,913.517,1128.74,0.120278,0.120278,6,6.13374,0
28,913.639,1128.74,0.122458,0.122458,6,6.13583,0
28,913.763,1128.73,0.12404,0.12404,6,6.13787,0
29,913.89,1128.73,0.126152,0.126151,6,6.13998,0
29,914.017,1128.73,0.127715,0.127715,6,6.14205,0
30,914.147,1128.73,0.129998,0.129998,6,6.1442,0
30,914.279,1128.73,0.131535,0.131535,6,6.1463,0
31,914.412,1128.73,0.133072,0.133072,6,6.14838,0
31,914.547,1128.73,0.135024,0.135024,6,6.15064,0
32,914.683,1128.73,0.136543,0.136543,6,6.15277,0
32,914.822,1128.73,0.138436,0.138436,6,6.15501,0
32,914.962,1128.73,0.139939,0.139939,6,6.15716,0
33,915.104,1128.72,0.141774,0.141774,6,6.15944,0
33,915.247,1128.72,0.14326,0.14326,6,6.16161,0
34,915.392,1128.72,0.145177,0.145177,6,6.16392,0
34,915.539,1128.72,0.146639,0.146639,6,6.16612,0
35,915.687,1128.72,0.148101,0.148101,6,6.16828,0
35,915.837,1128.72,0.149784,0.149784,6,6.17075,0
35,915.988,1128.72,0.15123,0.15123,6,6.17297,0
